DOI,Animal,time,concentration,timeu,concentrationu
10.1638/03-078,Killer Whale,72,1.62102685527352,hours,ug/mL
10.1638/03-078,Killer Whale,72.5,16.2102685527352,hours,ug/mL
10.1638/03-078,Killer Whale,73,33.7919908415822,hours,ug/mL
10.1638/03-078,Killer Whale,75.5,15.738730431619,hours,ug/mL
10.1638/03-078,Killer Whale,96,1.64286367868063,hours,ug/mL
10.1638/03-078,Beluga Whale,72,1.98866920464841,hours,ug/mL
10.1638/03-078,Beluga Whale,72.5,16.489371104318302,hours,ug/mL
10.1638/03-078,Beluga Whale,73,41.0958756680168,hours,ug/mL
10.1638/03-078,Beluga Whale,75.5,18.6997999003669,hours,ug/mL
10.1638/03-078,Beluga Whale,96,2.01666084924016,hours,ug/mL
